Agency Name,State Name [District] Latest available year,Grade 6 Students - American Indian/Alaska Native [District] 2016-17,Grade 6 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 6 Students - Hispanic [District] 2016-17,Grade 6 Students - Black [District] 2016-17,Grade 6 Students - White [District] 2016-17,Grade 6 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 6 Students - Two or More Races [District] 2016-17,Grade 7 Students - American Indian/Alaska Native [District] 2016-17,Grade 7 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 7 Students - Hispanic [District] 2016-17,Grade 7 Students - Black [District] 2016-17,Grade 7 Students - White [District] 2016-17,Grade 7 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 7 Students - Two or More Races [District] 2016-17,Grade 8 Students - American Indian/Alaska Native [District] 2016-17,Grade 8 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 8 Students - Hispanic [District] 2016-17,Grade 8 Students - Black [District] 2016-17,Grade 8 Students - White [District] 2016-17,Grade 8 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 8 Students - Two or More Races [District] 2016-17,Grade 9 Students - American Indian/Alaska Native [District] 2016-17,Grade 9 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 9 Students - Hispanic [District] 2016-17,Grade 9 Students - Black [District] 2016-17,Grade 9 Students - White [District] 2016-17,Grade 9 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 9 Students - Two or More Races [District] 2016-17
MENIFEE UNION ELEMENTARY,California,4,91,521,77,442,7,54,8,81,520,76,472,5,53,4,83,503,88,460,8,47,1,6,37,9,79,–,9
MENLO PARK CITY ELEMENTARY,California,2,35,48,7,204,2,42,–,32,45,4,212,2,29,–,26,53,5,191,3,33,†,†,†,†,†,†,†
MERCED CITY ELEMENTARY,California,5,113,738,58,178,1,35,–,127,783,65,167,2,28,3,100,771,59,177,4,36,†,†,†,†,†,†,†
MERCED COUNTY OFFICE OF EDUCATION,California,–,1,34,4,13,–,–,–,2,46,5,10,–,–,–,–,51,4,14,1,1,–,1,56,3,21,–,2
MERCED COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MERCED RIVER UNION ELEMENTARY,California,–,–,8,–,3,–,2,–,–,16,–,5,–,2,–,–,18,–,6,–,2,†,†,†,†,†,†,†
MERCED UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,18,264,1795,117,467,14,42
MERIDIAN ELEMENTARY,California,1,2,16,9,43,1,5,1,8,16,10,61,2,9,1,15,21,19,71,3,6,–,4,15,14,55,–,12
MESA UNION ELEMENTARY,California,–,6,65,3,50,–,7,1,9,46,2,41,1,5,1,7,41,3,63,–,4,–,–,5,1,20,–,3
METRO EDUCATION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
METROPOLITAN EDUCATION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MID-PLACER TRANSPORTATION JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MIDDLETOWN UNIFIED,California,–,–,39,–,100,1,10,1,2,31,–,91,–,10,3,1,37,–,95,–,2,4,6,35,–,98,–,8
MIDWAY ELEMENTARY,California,–,–,1,–,12,–,–,–,–,1,–,5,–,–,–,–,1,–,4,–,–,†,†,†,†,†,†,†
MILL VALLEY ELEMENTARY,California,–,16,32,3,255,–,28,–,21,26,4,287,–,29,2,14,20,3,279,1,22,†,†,†,†,†,†,†
MILLBRAE ELEMENTARY,California,–,139,46,4,53,5,19,–,139,45,4,65,5,23,–,129,63,2,56,5,14,†,†,†,†,†,†,†
MILLVILLE ELEMENTARY,California,1,–,1,–,22,–,–,–,–,1,–,21,–,2,–,–,–,–,22,–,4,†,†,†,†,†,†,†
MILPITAS UNIFIED,California,8,505,146,16,38,11,24,–,508,156,16,30,10,22,3,536,172,16,53,6,19,1,557,153,18,55,6,35
MISSION TRAILS ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
MISSION TRAILS ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MISSION UNION ELEMENTARY,California,–,–,6,–,6,–,–,–,2,12,–,3,–,–,–,–,8,–,4,–,–,†,†,†,†,†,†,†
MISSION VALLEY ROC/P,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
MISSION VALLEY ROC/P,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MODESTO CITY ELEMENTARY,California,6,75,1244,43,287,4,116,11,67,1131,40,279,7,82,6,70,1105,47,272,9,75,†,†,†,†,†,†,†
MODESTO CITY HIGH,California,–,8,52,5,15,–,3,–,4,50,4,14,3,3,1,4,57,6,25,–,8,11,219,2183,127,958,36,314
MODESTO CITY SCHOOLS,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MODOC COUNTY OFFICE OF EDUCATION,California,–,–,–,–,1,–,–,–,–,2,–,–,–,–,–,–,2,1,2,–,–,–,–,–,2,1,–,1
MODOC COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
MODOC JOINT UNIFIED,California,4,2,7,–,37,–,–,3,1,15,–,53,–,4,7,1,15,–,44,–,1,8,2,12,–,43,–,–
MOJAVE UNIFIED,California,1,–,98,71,40,–,6,3,1,76,55,33,–,10,–,5,84,51,37,–,3,–,1,83,68,37,–,6
MONO COUNTY OFFICE OF EDUCATION,California,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,–,2,–,–,–,–
MONO COUNTY ROC/P,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
MONROE ELEMENTARY,California,–,1,20,–,–,–,–,–,2,10,–,–,–,–,–,1,14,–,–,–,–,†,†,†,†,†,†,†
MONROVIA UNIFIED,California,1,27,267,25,86,1,9,1,24,257,28,90,1,10,1,33,267,26,87,–,10,–,30,261,26,95,3,11
MONSON-SULTANA JOINT UNION ELEMENTARY,California,–,–,42,–,5,–,–,–,–,46,–,7,–,–,–,1,44,–,6,1,–,†,†,†,†,†,†,†
MONTAGUE ELEMENTARY,California,–,–,6,–,6,–,8,1,1,3,–,5,1,5,4,–,–,1,7,–,10,†,†,†,†,†,†,†
MONTE RIO UNION ELEMENTARY,California,–,–,–,–,6,–,1,–,–,1,–,4,–,–,–,–,–,1,6,–,2,†,†,†,†,†,†,†
MONTEBELLO UNIFIED,California,4,41,1978,5,21,–,8,17,44,2027,4,27,2,8,5,42,2002,9,19,1,11,5,48,2149,3,26,2,6
MONTECITO UNION ELEMENTARY,California,–,1,3,–,63,–,3,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MONTEREY COUNTY OFFICE OF EDUCATION,California,–,7,43,1,51,–,17,–,5,43,1,39,1,5,–,6,49,1,39,–,8,2,–,51,2,25,1,5
MONTEREY PENINSULA UNIFIED,California,3,63,460,27,119,18,58,3,69,418,54,131,11,38,5,69,461,39,112,11,34,5,75,444,46,151,13,50
MONTGOMERY ELEMENTARY,California,–,2,1,–,4,–,–,–,–,–,–,1,–,–,–,–,–,–,1,–,–,†,†,†,†,†,†,†
MOORPARK UNIFIED,California,–,24,197,4,201,1,21,–,32,231,6,197,–,17,–,40,207,8,229,1,22,–,33,226,8,219,1,22
MORAGA ELEMENTARY,California,–,47,13,–,130,–,25,–,48,20,–,129,–,26,–,50,29,3,146,–,32,†,†,†,†,†,†,†
MORELAND,California,5,126,162,13,134,3,42,2,158,164,10,140,2,40,2,108,146,13,148,1,37,†,†,†,†,†,†,†
MORENO VALLEY UNIFIED,California,4,99,1834,349,168,18,84,10,86,1871,396,218,23,55,5,110,1898,391,220,19,42,11,97,1732,369,204,26,30
MORGAN HILL UNIFIED,California,5,87,379,8,215,2,38,2,72,358,16,205,2,18,2,73,333,14,232,4,22,2,89,336,25,257,3,26
MORONGO UNIFIED,California,4,16,188,45,344,4,36,2,15,216,44,319,2,22,2,14,187,46,334,7,33,5,7,177,44,306,2,32
MOTHER LODE UNION ELEMENTARY,California,2,–,45,1,75,–,4,1,2,33,1,66,–,4,1,2,33,–,79,–,1,†,†,†,†,†,†,†
MOUNT PLEASANT ELEMENTARY,California,1,40,179,5,6,3,6,1,47,176,6,11,3,5,2,42,183,9,10,2,10,†,†,†,†,†,†,†
MOUNTAIN ELEMENTARY,California,–,–,–,–,9,–,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MOUNTAIN EMPIRE UNIFIED,California,8,5,122,8,89,1,14,11,5,107,5,104,1,11,11,6,110,11,81,–,22,2,1,114,6,68,–,3
MOUNTAIN HOUSE ELEMENTARY,California,–,–,–,–,1,–,–,–,–,1,–,–,–,–,1,–,1,–,–,–,–,†,†,†,†,†,†,†
MOUNTAIN UNION ELEMENTARY,California,1,–,2,–,3,–,–,–,–,3,–,2,–,1,2,–,1,–,4,–,–,†,†,†,†,†,†,†
MOUNTAIN VALLEY UNIFIED,California,–,3,2,–,16,–,3,1,5,3,–,8,–,3,3,3,2,–,12,–,5,4,2,2,–,12,1,2
MOUNTAIN VIEW ELEMENTARY,California,–,39,687,2,–,–,1,1,36,693,–,–,–,4,–,57,681,1,–,–,1,†,†,†,†,†,†,†
MOUNTAIN VIEW ELEMENTARY,California,1,13,212,22,30,–,9,1,17,197,21,45,–,12,–,15,235,20,32,–,11,†,†,†,†,†,†,†
MOUNTAIN VIEW WHISMAN,California,–,65,235,11,155,6,49,1,72,241,13,134,5,43,–,75,221,9,143,3,34,†,†,†,†,†,†,†
MOUNTAIN VIEW-LOS ALTOS UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,247,259,16,403,3,134
MT. BALDY JOINT ELEMENTARY,California,–,2,4,–,5,–,–,–,1,3,–,7,–,–,–,–,6,1,8,–,–,†,†,†,†,†,†,†
MT. DIABLO UNIFIED,California,4,303,1102,88,785,14,179,6,299,1069,94,848,19,174,10,305,1023,88,879,18,196,2,298,834,96,676,12,68
MT. SHASTA UNION ELEMENTARY,California,2,3,7,3,45,1,2,–,1,12,–,41,–,4,1,–,9,–,49,1,5,†,†,†,†,†,†,†
MULBERRY ELEMENTARY,California,–,1,3,–,3,–,–,–,–,7,–,4,–,1,–,–,3,–,2,–,–,†,†,†,†,†,†,†
MUPU ELEMENTARY,California,–,–,12,–,9,–,–,–,–,16,–,7,–,2,–,1,17,–,10,–,–,–,–,2,–,4,–,2
MUROC JOINT UNIFIED,California,2,6,36,9,74,–,18,1,6,34,17,74,1,16,–,8,35,5,52,1,16,–,8,39,9,64,–,11
MURRIETA VALLEY UNIFIED,California,6,135,638,94,760,14,99,6,133,630,93,767,14,112,5,164,648,91,797,10,110,4,265,763,112,906,17,143
N. CO REGIONAL OCCUPATIONAL PROGRAM JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NAPA COUNTY OFFICE OF EDUCATION,California,="0",="0",="0",="0",="0",="0",="0",–,–,3,–,–,–,–,–,–,7,1,4,–,–,–,–,10,–,1,–,–
NAPA COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NAPA VALLEY UNIFIED,California,2,118,795,36,421,3,51,5,131,745,33,419,5,67,4,138,798,35,396,6,63,4,144,749,45,472,4,79
NATIONAL ELEMENTARY,California,1,89,713,11,13,8,10,–,–,53,–,2,–,–,–,–,48,1,–,2,–,†,†,†,†,†,†,†
NATOMAS UNIFIED,California,6,232,367,173,199,27,123,8,252,349,200,218,20,95,7,240,362,202,211,29,87,9,244,430,230,216,25,99
NEEDLES UNIFIED,California,12,–,24,–,40,–,2,16,1,16,2,44,–,2,18,2,14,2,31,–,4,6,–,12,–,35,1,1
NEVADA CITY ELEMENTARY,California,–,–,8,–,75,1,4,1,–,6,1,82,–,8,2,2,9,3,98,–,4,†,†,†,†,†,†,†
NEVADA CO CHARTER SERVICES AUTHORITY (JPA),California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NEVADA COUNTY OFFICE OF EDUCATION,California,3,4,14,–,139,1,7,–,2,18,2,148,–,10,6,–,17,3,151,–,14,–,–,7,1,60,–,5
NEVADA COUNTY PUPIL TRANSPORTATION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NEVADA JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,6,12,97,7,563,2,24
NEW HAVEN UNIFIED,California,5,363,359,47,60,17,58,–,396,337,49,47,20,39,1,413,340,57,46,12,44,2,425,369,60,60,26,47
NEW HOPE ELEMENTARY,California,–,–,20,2,–,–,1,–,1,15,1,3,–,–,–,1,18,–,1,–,–,†,†,†,†,†,†,†
NEW JERUSALEM ELEMENTARY,California,4,46,123,55,81,2,34,1,43,155,53,96,2,26,3,37,156,41,116,3,34,5,37,142,55,97,1,31
NEWARK UNIFIED,California,2,94,259,15,39,14,20,–,99,236,12,66,5,9,1,97,247,30,73,8,20,–,93,261,25,71,7,13
NEWCASTLE ELEMENTARY,California,–,43,38,4,175,–,24,1,36,34,4,159,–,26,1,15,22,2,129,–,14,–,–,–,–,2,–,–
NEWHALL,California,1,143,465,21,351,3,59,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NEWMAN-CROWS LANDING UNIFIED,California,1,2,179,2,31,1,11,–,2,167,2,40,1,3,1,2,188,5,55,1,3,–,3,171,4,44,4,3
NEWPORT-MESA UNIFIED,California,–,92,696,17,742,7,28,2,128,702,17,837,11,32,4,95,735,20,786,9,26,4,87,715,19,889,8,32
NICASIO,California,–,–,1,–,2,–,–,–,1,–,–,5,–,–,–,–,2,–,4,–,–,†,†,†,†,†,†,†
NORRIS ELEMENTARY,California,5,21,135,9,275,–,31,2,24,149,4,261,1,26,1,25,141,9,243,2,38,†,†,†,†,†,†,†
NORTH COUNTY JOINT UNION ELEMENTARY,California,–,–,42,–,36,–,2,–,–,53,1,38,–,2,–,–,44,–,44,–,5,†,†,†,†,†,†,†
NORTH COUNTY REGIONAL OCCUPATIONAL CENTER/PROGRAM (ROC/P),California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
NORTH COW CREEK ELEMENTARY,California,1,–,–,–,26,–,1,–,–,2,–,30,–,3,2,–,1,1,22,–,–,†,†,†,†,†,†,†
NORTH KERN VOCATIONAL TRAINING CENTER,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
NORTH KERN VOCATIONAL TRAINING CENTER JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NORTH MONTEREY COUNTY UNIFIED,California,2,3,306,1,40,2,3,1,6,287,2,41,2,–,–,5,293,–,44,1,4,2,5,263,–,37,1,4
NORTH ORANGE COUNTY ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NORTH ORANGE COUNTY ROP-ADULT,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
NORTH SANTA CRUZ COUNTY SELPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NORTHERN CALIF. MEDI-CAL ADMIN. SERVICES JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NORTHERN HUMBOLDT UNION HIGH,California,1,–,1,–,5,–,2,–,–,1,–,10,–,2,–,–,–,–,9,–,2,20,7,50,4,276,2,45
NORWALK-LA MIRADA UNIFIED,California,1,91,1150,37,139,7,14,5,112,1126,37,132,7,22,2,95,1222,38,151,4,22,4,81,1180,50,106,6,10
NOVATO UNIFIED,California,6,31,203,17,276,2,33,2,40,221,18,312,1,37,3,35,231,19,314,–,44,4,51,210,19,352,3,35
NUESTRO ELEMENTARY,California,2,4,5,1,25,–,3,–,4,5,4,27,–,4,–,3,5,–,27,–,2,–,–,1,–,14,–,3
NUVIEW UNION,California,–,5,158,33,35,–,6,2,1,141,1,25,–,2,2,1,140,2,36,–,2,–,2,135,2,35,–,5
OAK GROVE ELEMENTARY,California,3,263,553,45,216,15,31,5,323,508,58,224,9,21,4,322,544,54,189,8,15,†,†,†,†,†,†,†
OAK GROVE UNION ELEMENTARY,California,–,1,28,1,81,–,6,4,5,58,1,94,–,9,1,8,56,3,79,1,6,1,–,13,1,30,–,7
OAK PARK UNIFIED,California,3,96,42,3,223,1,9,2,87,29,4,241,–,15,1,69,46,4,273,–,18,3,84,38,6,285,1,11
OAK RUN ELEMENTARY,California,1,–,–,–,4,–,1,–,–,–,–,1,–,–,–,–,–,–,2,–,1,†,†,†,†,†,†,†
OAK VALLEY UNION ELEMENTARY,California,–,–,47,3,15,–,–,2,1,52,–,7,–,–,1,–,40,–,10,–,–,†,†,†,†,†,†,†
OAK VIEW UNION ELEMENTARY,California,–,2,15,–,18,–,2,–,3,35,–,29,1,2,1,1,9,–,19,1,–,†,†,†,†,†,†,†
OAKDALE JOINT UNIFIED,California,4,11,143,2,223,4,10,5,8,166,1,240,2,12,3,5,133,2,271,2,5,8,5,144,4,249,–,6
OAKLAND UNIFIED,California,11,482,1754,940,366,32,142,9,542,1630,902,307,31,221,13,524,1689,936,292,27,170,13,529,1762,829,253,38,149
OAKLEY UNION ELEMENTARY,California,2,31,254,50,172,5,33,2,42,257,51,190,1,24,–,34,254,56,159,2,27,†,†,†,†,†,†,†
OCEAN VIEW,California,1,12,273,2,14,–,3,–,15,267,4,12,1,1,–,13,240,1,8,1,1,†,†,†,†,†,†,†
OCEAN VIEW,California,5,175,356,15,396,4,47,–,177,357,12,403,3,53,1,180,379,12,438,4,57,†,†,†,†,†,†,†
OCEANSIDE UNIFIED,California,8,73,895,75,464,32,90,3,79,840,81,487,39,90,3,87,864,67,446,21,91,5,85,774,76,293,37,57
OJAI UNIFIED,California,–,3,48,2,128,–,7,2,5,82,1,130,2,7,1,4,81,2,135,–,7,1,5,69,1,132,1,1
OLD ADOBE UNION,California,–,17,98,4,111,3,9,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ONTARIO-MONTCLAIR,California,14,59,2179,65,108,9,35,10,58,2105,50,70,7,33,8,66,2129,54,93,5,31,†,†,†,†,†,†,†
ORANGE CENTER,California,2,5,35,8,29,–,4,2,7,45,10,32,–,3,1,9,58,4,32,–,5,–,–,2,–,–,–,1
ORANGE COUNTY DEPARTMENT OF EDUCATION,California,2,20,162,7,82,4,23,2,20,184,7,86,1,18,3,17,149,5,49,1,23,1,17,544,5,99,3,22
ORANGE UNIFIED,California,6,253,1223,25,646,5,59,7,277,1182,27,665,7,87,3,290,1177,37,698,7,57,6,251,1164,30,614,11,39
ORCHARD ELEMENTARY,California,–,41,28,3,8,2,1,–,41,42,4,4,1,6,–,44,44,2,7,3,4,†,†,†,†,†,†,†
ORCUTT UNION ELEMENTARY,California,8,16,298,5,230,–,46,2,20,283,4,228,4,35,7,26,241,5,266,3,25,2,13,48,2,72,1,7
ORICK ELEMENTARY,California,–,–,–,–,2,–,–,–,–,–,–,2,–,–,–,–,–,–,1,–,–,†,†,†,†,†,†,†
ORINDA UNION ELEMENTARY,California,2,52,12,4,182,1,23,–,50,19,8,193,–,23,4,56,14,10,209,3,11,†,†,†,†,†,†,†
ORLAND JOINT UNIFIED,California,1,4,100,2,52,–,–,1,6,90,1,42,–,3,–,10,96,–,51,–,2,–,4,116,–,76,–,2
ORO GRANDE,California,4,3,127,29,53,1,14,3,2,186,34,74,3,11,4,2,185,57,80,–,17,4,5,187,48,85,2,14
OROVILLE CITY ELEMENTARY,California,13,28,49,13,164,–,31,10,23,58,6,127,3,29,10,26,43,15,149,–,33,†,†,†,†,†,†,†
OROVILLE UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,47,70,109,27,262,5,1
OUTSIDE CREEK ELEMENTARY,California,–,–,12,–,6,–,–,–,1,10,–,1,–,–,–,–,9,–,4,–,–,†,†,†,†,†,†,†
OWENS VALLEY UNIFIED,California,1,–,1,–,2,–,–,2,–,5,–,1,–,–,1,–,–,–,2,–,–,1,–,4,–,3,–,1
OXNARD,California,1,43,1747,26,42,4,15,4,41,1648,27,44,4,8,2,55,1547,29,65,5,13,†,†,†,†,†,†,†
OXNARD UNION HIGH,California,–,10,13,–,37,–,6,–,5,14,–,39,–,5,–,6,9,1,43,–,5,4,200,3336,69,568,10,63
PACHECO UNION ELEMENTARY,California,1,1,11,–,42,–,5,3,2,13,–,39,–,1,–,3,10,–,44,–,2,†,†,†,†,†,†,†
PACIFIC ELEMENTARY,California,–,–,2,–,3,–,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
PACIFIC GROVE UNIFIED,California,–,11,26,3,99,2,10,1,24,37,1,105,2,16,–,16,31,4,91,1,16,–,17,35,5,105,–,8
PACIFIC UNION ELEMENTARY,California,3,2,12,–,29,–,6,2,1,13,–,31,–,3,4,–,11,–,38,–,3,†,†,†,†,†,†,†
PACIFIC UNION ELEMENTARY,California,–,–,42,2,3,–,–,–,2,31,–,5,–,–,–,3,31,–,8,–,–,†,†,†,†,†,†,†
PACIFICA,California,1,63,93,4,135,5,61,–,63,92,4,152,3,43,2,61,87,7,163,5,33,†,†,†,†,†,†,†
PAJARO VALLEY UNIFIED,California,6,26,1348,10,226,2,1,4,30,1325,8,240,2,2,1,24,1292,2,232,1,6,4,34,1221,13,222,4,5
PAJARO VALLEY UNIFIED SELPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
PALERMO UNION ELEMENTARY,California,7,1,47,1,59,–,23,9,4,53,2,58,–,13,8,6,47,–,65,–,14,†,†,†,†,†,†,†
PALM SPRINGS UNIFIED,California,8,57,1366,99,200,1,23,10,60,1369,82,203,4,27,7,52,1369,106,199,1,27,14,79,1399,80,271,4,20
PALMDALE ELEMENTARY,California,14,31,1756,364,122,3,13,14,34,1584,314,138,–,14,27,46,1608,354,178,2,14,7,10,454,86,64,2,11
PALO ALTO UNIFIED,California,4,421,143,16,380,8,68,2,372,129,12,422,12,71,1,366,105,15,475,11,76,2,388,103,26,422,8,62
PALO VERDE UNIFIED,California,1,2,178,12,45,1,3,2,3,171,14,46,–,3,–,3,155,15,56,–,1,3,2,161,19,59,–,2
PALO VERDE UNION ELEMENTARY,California,–,–,64,–,7,–,–,–,–,48,–,4,–,–,1,–,45,–,6,–,–,†,†,†,†,†,†,†
PALOS VERDES PENINSULA UNIFIED,California,3,276,99,21,432,3,50,1,264,87,17,435,2,78,2,278,100,29,471,1,76,2,270,128,24,473,2,55
PANAMA-BUENA VISTA UNION,California,6,196,1121,203,444,9,33,8,184,1137,200,434,10,37,14,232,1103,197,383,9,36,†,†,†,†,†,†,†
PANOCHE ELEMENTARY,California,="0",="0",="0",="0",="0",="0",="0",–,–,1,–,–,–,–,–,–,2,–,–,–,–,†,†,†,†,†,†,†
PARADISE ELEMENTARY,California,–,–,6,–,1,–,20,–,–,6,–,–,–,15,–,–,4,–,–,–,14,†,†,†,†,†,†,†
PARADISE UNIFIED,California,7,2,40,1,246,–,20,3,–,49,2,251,1,26,9,4,46,1,238,–,28,4,7,46,2,225,1,21
PARAMOUNT UNIFIED,California,3,14,1088,91,13,8,7,1,9,1095,96,18,11,10,1,15,1071,88,15,8,6,–,10,1105,119,15,6,11
PARLIER UNIFIED,California,–,1,281,–,2,–,–,–,3,269,–,–,–,–,–,1,273,–,2,–,–,–,2,234,–,1,–,–
PARTNERS IN NUTRITION COOPERATIVE,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
PASADENA UNIFIED,California,7,95,797,180,280,3,27,3,76,744,174,268,4,39,5,71,795,181,236,4,31,2,60,772,167,170,1,44
PASO ROBLES JOINT UNIFIED,California,1,2,254,10,197,1,15,5,4,276,6,210,–,23,2,9,265,12,201,2,13,3,11,294,7,247,3,23
PATTERSON JOINT UNIFIED,California,1,29,363,23,55,9,19,3,23,315,31,53,15,15,–,14,355,28,56,5,5,3,18,343,43,70,10,11
PENINSULA UNION,California,–,–,1,–,4,–,–,–,–,1,1,2,–,–,–,–,–,–,5,–,–,†,†,†,†,†,†,†
PENN VALLEY UNION ELEMENTARY,CALIFORNIA,1,2,12,2,48,–,3,2,–,6,–,38,–,4,5,–,4,–,44,–,–,–,–,–,–,2,–,–
PERRIS ELEMENTARY,California,1,5,684,62,20,4,–,1,2,114,6,3,–,1,1,–,111,8,4,–,–,†,†,†,†,†,†,†
PERRIS UNION HIGH,California,–,4,109,8,–,–,4,–,13,645,31,18,8,12,3,10,688,51,31,1,7,5,81,1587,122,399,15,106
PETALUMA CITY ELEMENTARY,California,3,15,104,2,237,1,9,–,–,6,1,24,–,4,–,1,5,1,27,–,2,–,–,2,–,2,–,1
PETALUMA CITY ELEMENTARY/JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
PETALUMA JOINT UNION HIGH,California,1,–,8,–,40,–,2,7,24,297,12,502,3,28,5,26,282,11,502,5,37,5,27,276,7,427,3,24
PIEDMONT CITY UNIFIED,California,–,22,19,3,133,–,29,–,27,13,1,153,–,57,–,24,21,3,151,–,43,–,29,12,4,133,–,35
PIERCE JOINT UNIFIED,California,–,2,81,2,29,–,1,–,2,77,–,31,1,1,–,–,82,4,28,–,–,–,2,87,3,27,1,1
PINE RIDGE ELEMENTARY,California,–,–,2,–,12,–,–,–,–,1,–,9,–,–,–,–,–,–,8,–,–,†,†,†,†,†,†,†
PINER-OLIVET UNION ELEMENTARY,California,–,15,61,4,40,–,7,1,12,54,3,41,1,7,5,17,63,6,34,1,4,–,–,13,2,9,–,–
PIONEER UNION ELEMENTARY,California,–,–,3,–,8,–,1,–,–,1,–,4,–,1,–,–,–,–,3,–,–,†,†,†,†,†,†,†
PIONEER UNION ELEMENTARY,California,–,2,7,–,23,–,3,–,–,7,1,32,–,4,1,1,2,–,18,–,4,†,†,†,†,†,†,†
PIONEER UNION ELEMENTARY,California,1,12,89,12,61,3,10,1,14,83,9,77,2,3,–,14,61,13,80,2,3,†,†,†,†,†,†,†
PITTSBURG UNIFIED,California,4,79,552,134,34,8,27,4,62,575,152,45,16,41,–,67,546,170,37,16,21,2,72,692,221,71,16,30
PIXLEY UNION ELEMENTARY,California,–,–,103,3,2,–,–,–,1,123,3,4,–,–,2,1,113,1,3,–,–,†,†,†,†,†,†,†
